route_name,min median travel time,max median travel time,Peak time to best ratio,min iq travel time,max iq travel time,Peak iq to best ratio,all times,min median travel hour,max median travel hour,min iq travel hour,max iq travel hour,total obvs,Mean excess time ratio,Mean excess time ratio - weighted,Mean excess iq ratio,Mean excess iq ratio - weighted,distance
12 - A9 to M7,00:16:57,00:22:46,1.343,00:06:32,00:16:35,2.537,TRUE,10,3,23,18,244052,1.108,1.092,1.604,1.558,17120.1
12 - M7 to A9,00:17:32,00:24:53,1.419,00:07:17,00:16:03,2.205,TRUE,9,3,5,16,285328,1.115,1.109,1.374,1.355,17103.8
13-49 - Monash Freeway to South Gippsland Highway,00:14:50,00:23:13,1.564,00:06:11,00:18:05,2.925,FALSE,7,0,6,17,191186,1.209,1.198,1.56,1.513,14832.8
13-49 - South Gippsland Highway to Monash Freeway,00:19:01,00:27:47,1.462,00:07:49,00:17:41,2.265,TRUE,6,18,6,18,253302,1.179,1.178,1.423,1.416,18191.3
15 - Beach Road to Surrey Hills,00:25:08,00:35:04,1.396,00:10:56,00:28:51,2.639,TRUE,5,1,5,0,293792,1.125,1.11,1.566,1.488,18870.8
15 - Surrey Hills to Beach Road,00:23:00,00:33:38,1.462,00:08:29,00:42:16,4.983,TRUE,6,2,6,2,326805,1.15,1.135,1.857,1.705,18874.6
22 - Ferntree Gully to M1,00:12:42,00:19:19,1.52,00:03:57,00:12:56,3.282,TRUE,13,2,12,8,182062,1.201,1.164,1.926,1.787,12558.6
22 - M1 to Ferntree Gully,00:12:26,00:17:17,1.39,00:03:41,00:10:39,2.892,TRUE,11,3,12,17,204628,1.187,1.132,1.838,1.567,12611.6
3 - Albert Park to Cheltenham,00:15:55,00:24:59,1.57,00:05:32,00:35:20,6.387,TRUE,3,15,3,15,816320,1.254,1.308,2.495,2.819,16071.1
3 - Cheltenham to Albert Park,00:14:13,00:27:35,1.941,00:04:34,00:27:30,6.028,TRUE,4,8,3,8,825470,1.505,1.468,2.775,2.823,16017.8
32 - Derrimut to Montrose,01:11:21,01:31:59,1.289,00:50:53,02:37:13,3.09,TRUE,6,0,6,22,425148,1.151,1.161,1.503,1.54,52838.2
32 - Montrose to Derrimut,01:16:04,01:31:18,1.2,00:53:35,01:23:24,1.556,TRUE,11,22,4,23,575313,1.081,1.086,1.265,1.279,52904.4
35 - Hume Highway to M80,00:09:40,00:19:40,2.033,00:04:29,00:59:54,13.344,TRUE,5,3,5,3,415408,1.27,1.247,2.933,2.414,8320.5
35 - M80 to Hume Highway,00:09:35,00:19:15,2.007,00:04:35,00:26:53,5.874,TRUE,5,4,5,16,187301,1.329,1.31,2.349,2.351,8288.699999999999
40 - Doncaster to M2,00:23:12,00:33:18,1.436,00:09:11,00:49:21,5.373,FALSE,5,22,5,4,192776,1.158,1.155,1.931,1.903,18621.2
40 - M2 to Doncaster,00:24:34,00:35:07,1.429,00:10:32,00:28:41,2.722,FALSE,6,3,5,17,208363,1.149,1.143,1.738,1.745,18627.6
55 - Hume Freeway to Montague Street,00:34:19,00:50:17,1.465,00:15:27,01:08:16,4.419,TRUE,6,0,5,3,385411,1.182,1.175,2.386,2.281,28281.2
55 - Montague St to Hume Freeway,00:35:18,00:51:07,1.448,00:20:09,00:55:10,2.737,TRUE,6,3,6,3,450087,1.16,1.159,1.642,1.633,27981.100000000002
56 - Laverton to Spotswood,00:12:15,00:17:51,1.456,00:05:04,00:26:03,5.148,TRUE,19,0,4,18,279540,1.139,1.166,1.902,2.024,9142.5
56 - Spotswood to Laverton,00:12:01,00:15:21,1.277,00:05:27,00:11:51,2.176,TRUE,4,2,4,8,305393,1.104,1.117,1.47,1.483,9139.8
58 - Greenvale to Yan Yean Road,00:28:06,00:40:24,1.438,00:16:49,00:41:07,2.446,TRUE,5,1,5,16,77107,1.164,1.189,1.551,1.598,22318.3
58 - Yan Yean Road to Greenvale,00:27:30,00:42:02,1.529,00:15:35,00:44:06,2.831,TRUE,5,1,5,1,106650,1.172,1.193,1.698,1.77,22167.5
A1 - Artarmon to Wahroonga,00:16:40,00:25:15,1.515,00:05:57,00:16:21,2.746,TRUE,0,3,0,17,320813,1.196,1.183,1.695,1.643,13501.2
A1 - Wahroonga to Artarmon,00:17:36,00:27:23,1.555,00:06:45,00:16:49,2.49,TRUE,5,1,5,1,405750,1.153,1.135,1.525,1.461,13481.5
A14 - Port Road to Southern Expressway,00:18:59,00:37:12,1.959,00:08:08,00:30:12,3.713,TRUE,13,2,13,2,61919,1.237,1.209,1.691,1.601,15004.7
A14 - Southern Expressway to Port Road,00:19:39,00:30:20,1.544,00:08:26,00:24:23,2.889,TRUE,13,3,9,3,110753,1.177,1.149,1.612,1.527,15047.4
A15 - ANZAC Highway to Port Road,00:13:20,00:18:10,1.363,00:02:03,00:13:20,6.524,FALSE,0,21,0,21,196368,1.166,1.171,3.298,3.328,13059.6
A15 - Port Road to ANZAC Highway,00:14:23,00:22:15,1.547,00:04:02,00:17:02,4.225,TRUE,5,2,5,1,200374,1.125,1.112,1.856,1.73,13032.4
A16 - Hampstead Road to Outer Harbor,00:24:46,00:32:22,1.306,00:09:30,00:20:24,2.148,TRUE,6,1,6,17,252379,1.118,1.11,1.513,1.457,20742.8
