hour,LQ_est,med_est,UQ_est,LQ_est_char,med_est_char,UQ_est_char,n_obvs,route_name
0,1403.388930293232,1131.2024325397076,938.0204243784268,23m23.3889303s,19m51.2024325s,16m38.0204244s,11668,12 - A9 to M7
1,1378.345610242476,1097.8800552008215,964.5892145188604,23m58.3456102s,18m17.8800552s,16m4.58921452s,3375,12 - A9 to M7
2,1783.415449502755,1280.953785713999,1016.9532306162132,30m43.4154495s,21m20.9537857s,17m56.9532306s,7979,12 - A9 to M7
3,1941.891398858871,1366.0031485835686,1130.097974549742,32m21.8913989s,23m46.0031486s,19m50.0979745s,3525,12 - A9 to M7
4,1754.7057413074915,1213.1058879153738,956.6106793757874,29m14.7057413s,20m13.1058879s,16m56.6106794s,4739,12 - A9 to M7
5,1632.2335554757606,1108.9592830710471,954.3322611127196,27m12.2335555s,18m28.9592831s,16m54.3322611s,6378,12 - A9 to M7
6,1458.881488062436,1083.51203638399,918.2573814347478,24m18.8814881s,18m3.51203638s,15m18.2573814s,13113,12 - A9 to M7
7,1758.1804113741498,1133.8019862717397,927.414572542285,29m18.1804114s,19m53.8019863s,15m27.4145725s,21329,12 - A9 to M7
8,1826.1453249422416,1136.8562798266546,928.0392295732432,30m26.1453249s,19m56.8562798s,15m28.0392296s,10676,12 - A9 to M7
9,1670.21015685893,1077.018707104069,912.8410506450276,28m50.2101569s,18m57.0187071s,15m12.8410506s,8361,12 - A9 to M7
10,1330.5309086637335,1016.7928003372646,894.457364759199,22m10.5309087s,17m56.7928003s,15m54.4573648s,16992,12 - A9 to M7
11,1399.7355697105738,1044.6562555015685,894.6954001577086,23m19.7355697s,17m24.6562555s,15m54.6954002s,15867,12 - A9 to M7
12,1391.120774171036,1054.873117403208,907.5546796014738,23m11.1207742s,18m34.8731174s,15m7.5546796s,16832,12 - A9 to M7
13,1493.8999037105818,1093.9238411419803,917.805965007876,25m53.8999037s,18m13.9238411s,15m17.805965s,17418,12 - A9 to M7
14,1478.394314170681,1079.2868346516727,915.8701676316052,25m38.3943142s,18m59.2868347s,15m15.8701676s,14430,12 - A9 to M7
15,1799.0809865101912,1219.8832385330554,1010.8104830639622,30m59.0809865s,20m19.8832385s,17m50.8104831s,9709,12 - A9 to M7
16,1628.8649509191782,1158.2124937745514,969.8237614682748,27m8.86495092s,19m18.2124938s,16m9.82376147s,10869,12 - A9 to M7
17,1583.525802430024,1178.0181040289751,967.2246744225124,26m23.5258024s,20m38.018104s,16m7.22467442s,9163,12 - A9 to M7
18,1974.789807812485,1195.270592736703,979.6516060634406,33m54.7898078s,20m55.2705927s,16m19.6516061s,5393,12 - A9 to M7
19,1477.6732461818058,1062.140678852868,919.9770276874274,25m37.6732462s,18m42.1406789s,15m19.9770277s,2912,12 - A9 to M7
20,1486.7141296097948,1082.5787806904996,922.842023212536,25m46.7141296s,18m2.57878069s,15m22.8420232s,4635,12 - A9 to M7
21,1420.7086543109408,1063.8165774145828,915.3925080458606,24m40.7086543s,18m43.8165774s,15m15.392508s,6874,12 - A9 to M7
22,1399.7209711789694,1086.0629708272274,904.9113151808964,23m19.7209712s,18m6.06297083s,15m4.91131518s,6929,12 - A9 to M7
23,1344.5644943456048,1061.9010734517926,952.3749207185988,22m24.5644943s,18m41.9010735s,16m52.3749207s,14886,12 - A9 to M7
0,1489.7953663644898,1131.9014262243022,923.0161373220576,25m49.7953664s,19m51.9014262s,15m23.0161373s,6811,12 - M7 to A9
1,1932.6742685596791,1431.2216080264366,1083.6237462729807,32m12.6742686s,24m51.221608s,18m3.62374627s,8577,12 - M7 to A9
2,1859.6652946097904,1418.7052917177225,1158.9841734613449,31m59.6652946s,24m38.7052917s,19m18.9841735s,14402,12 - M7 to A9
3,1927.417372697044,1492.6519342847107,1211.6816421655506,32m7.4173727s,25m52.6519343s,20m11.6816422s,12877,12 - M7 to A9
4,1719.8207484437942,1336.7037809206747,1104.9505854705233,29m39.8207484s,22m16.7037809s,18m24.9505855s,5420,12 - M7 to A9
5,1367.2454090287742,1085.0748990797208,930.4131852574754,23m47.245409s,18m5.07489908s,16m30.4131853s,6053,12 - M7 to A9
6,1520.9005158917523,1093.3697609623246,933.3131727716084,25m20.9005159s,18m13.369761s,16m33.3131728s,8446,12 - M7 to A9
7,1448.1482192687913,1125.6485806189144,969.4889509496376,24m8.14821927s,19m45.6485806s,16m9.48895095s,12018,12 - M7 to A9
8,1636.1734145632388,1160.268477582725,967.3388520007468,27m16.1734146s,19m20.2684776s,16m7.338852s,10514,12 - M7 to A9
9,1382.3148182516225,1052.0555093469775,910.7829201894388,23m2.31481825s,18m32.0555093s,15m10.7829202s,11999,12 - M7 to A9
10,1416.1245518684916,1076.0648040513224,923.7697109427452,24m36.1245519s,18m56.0648041s,15m23.7697109s,19219,12 - M7 to A9
11,1507.7004252822378,1134.0963664328185,945.2555316431047,25m7.70042528s,19m54.0963664s,16m45.2555316s,21895,12 - M7 to A9
12,1517.8596191168183,1133.0183416039013,945.0378449547396,25m17.8596191s,19m53.0183416s,16m45.037845s,21383,12 - M7 to A9
13,1402.4398311481475,1064.0210241403358,905.88086119667,23m22.4398311s,18m44.0210241s,15m5.8808612s,19535,12 - M7 to A9
14,1530.6683534641204,1137.896327731137,957.6953308879386,26m30.6683535s,19m57.8963277s,16m57.6953309s,15400,12 - M7 to A9
15,1889.1332319338176,1232.0344578528457,995.0083251135771,31m29.1332319s,21m32.0344579s,17m35.0083251s,11116,12 - M7 to A9
16,1976.3929090689712,1257.2857393837253,1013.2542194607938,33m56.3929091s,21m57.2857394s,17m53.2542195s,6917,12 - M7 to A9
17,1722.5027430959262,1200.1730344117789,977.6399790906864,29m42.5027431s,20m0.173034412s,16m17.6399791s,13063,12 - M7 to A9
18,1522.1124038630278,1151.7750497347904,955.126155013922,25m22.1124039s,19m11.7750497s,16m55.126155s,8314,12 - M7 to A9
19,1398.6522569067397,1069.479534679302,921.510481708728,23m18.6522569s,18m49.4795347s,15m21.5104817s,8458,12 - M7 to A9
20,1411.3443821001863,1109.1194693209504,948.6538837459186,24m31.3443821s,18m29.1194693s,16m48.6538837s,10193,12 - M7 to A9
21,1486.0885887456063,1112.1148459457002,945.29381635181,25m46.0885887s,19m32.1148459s,16m45.2938164s,16960,12 - M7 to A9
22,1392.402694859553,1073.6434951517645,921.3529558479138,23m12.4026949s,18m53.6434952s,15m21.3529558s,9684,12 - M7 to A9
23,1422.9745000477844,1081.9092284857877,925.4871730922308,24m42.9745s,18m1.90922849s,15m25.4871731s,6074,12 - M7 to A9
0,1959.9245370171836,1392.5607087098758,1023.5004895655858,33m39.924537s,23m12.5607087s,17m3.50048957s,5644,13-49 - Monash Freeway to South Gippsland Highway
1,1697.8586689743054,1274.5935997197762,967.5848280764944,28m17.858669s,21m14.5935997s,16m7.58482808s,5814,13-49 - Monash Freeway to South Gippsland Highway
2,1728.325044653856,1254.106022137226,960.9286650231178,29m48.3250447s,21m54.1060221s,16m0.928665023s,9982,13-49 - Monash Freeway to South Gippsland Highway
3,1299.6712975319515,1023.4462512963138,873.0320941929218,22m39.6712975s,17m3.4462513s,15m33.0320942s,15582,13-49 - Monash Freeway to South Gippsland Highway
4,1396.6746397044424,1050.9794883031782,868.6685605433377,23m16.6746397s,18m30.9794883s,14m28.6685605s,3503,13-49 - Monash Freeway to South Gippsland Highway
5,1228.1059430566995,999.5348257179148,848.5701246322578,20m28.1059431s,17m39.5348257s,14m8.57012463s,11056,13-49 - Monash Freeway to South Gippsland Highway
6,1160.873151537262,914.7037284031836,790.0696161863517,19m20.8731515s,15m14.7037284s,13m10.0696162s,6770,13-49 - Monash Freeway to South Gippsland Highway
7,1194.5710344532124,890.1395537371235,769.5994066647676,20m54.5710345s,15m50.1395537s,13m49.5994067s,7387,13-49 - Monash Freeway to South Gippsland Highway
8,1505.1926221879155,1015.2664782413344,826.5254733284809,25m5.19262219s,17m55.2664782s,14m46.5254733s,7823,13-49 - Monash Freeway to South Gippsland Highway
9,1295.4405610694137,961.6360572305788,797.918672960658,22m35.4405611s,16m1.63605723s,13m17.918673s,10387,13-49 - Monash Freeway to South Gippsland Highway
10,1253.1506694596442,950.5802717946904,808.4254059541074,21m53.1506695s,16m50.5802718s,13m28.425406s,13101,13-49 - Monash Freeway to South Gippsland Highway
11,1233.8645058458053,919.7077225894656,784.5868483411668,21m33.8645058s,15m19.7077226s,13m4.58684834s,9644,13-49 - Monash Freeway to South Gippsland Highway
12,1254.1707890484265,921.9897248611744,774.2474024543359,21m54.170789s,15m21.9897249s,13m54.2474025s,7566,13-49 - Monash Freeway to South Gippsland Highway
13,1322.498072775937,954.2575391013812,800.7728591266235,22m2.49807278s,16m54.2575391s,13m20.7728591s,8168,13-49 - Monash Freeway to South Gippsland Highway
14,1278.8188666849658,933.1060367068444,784.796411480998,21m18.8188667s,16m33.1060367s,13m4.79641148s,7235,13-49 - Monash Freeway to South Gippsland Highway
